ElementName;Langage;Tag;Prop1;Prop2;Prop3;Prop4;Prop5
element050;technoY;button;data-ng-click;textcontent;n;n;n
element051;technoY;button;data-ng-click;class;n;n;n
element052;technoY;button;data-ng-click;n;n;n;n
element053;technoY;button;data-ng-click;n;n;n;n
element054;technoY;button;data-ng-click;n;n;n;n
element055;technoY;button;data-ng-click;n;n;n;n
element056;technoY;button;data-ng-click;n;n;n;n
element057;technoY;button;data-ng-click;n;n;n;n
element058;technoY;button;data-ng-click;n;n;n;n
element059;technoY;button;data-ng-click;n;n;n;n
element060;technoY;button;data-ng-click;n;n;n;n
element061;technoY;button;data-ng-click;n;n;n;n
element062;technoY;button;data-ng-click;n;n;n;n
element063;technoY;button;data-ng-click;n;n;n;n
element064;technoY;button;data-ng-click;n;n;n;n
element065;technoY;button;data-ng-click;textcontent;n;n;n
element066;technoY;button;data-ng-click;class;n;n;n
element067;technoY;button;data-ng-click;n;n;n;n
element068;technoY;button;data-ng-click;n;n;n;n
element069;technoY;button;data-ng-click;n;n;n;n
element070;technoY;button;data-ng-click;n;n;n;n
element071;technoY;button;data-ng-click;n;n;n;n
element072;technoY;button;data-ng-click;n;n;n;n
element073;technoY;button;data-ng-click;n;n;n;n
element074;technoY;button;data-ng-click;textcontent;n;n;n
element075;technoY;button;data-ng-click;textcontent;n;n;n
element076;technoY;button;data-ng-click;n;n;n;n
element077;technoY;button;data-ng-click;n;n;n;n
element078;technoY;button;data-ng-click;n;n;n;n
element079;technoY;button;data-ng-click;n;n;n;n
element080;technoY;button;data-ng-click;n;n;n;n
element081;technoY;button;data-ng-click;n;n;n;n
element082;technoY;button;data-ng-click;n;n;n;n
element083;technoY;button;data-ng-click;n;n;n;n
element084;technoY;button;data-ng-click;n;n;n;n
element085;technoY;button;data-ng-click;n;n;n;n
element086;technoY;button;data-ng-click;textcontent;n;n;n
element087;technoY;button;data-ng-click;n;n;n;n
element088;technoY;button;data-ng-click;n;n;n;n
element089;technoY;button;data-ng-click;n;n;n;n
element090;technoY;button;data-ng-click;class;n;n;n
element091;technoY;button;data-ng-click;n;n;n;n
element092;technoY;button;data-ng-show;n;n;n;n
element093;technoY;button;data-ng-show;n;n;n;n
element094;technoY;button;name;n;n;n;n
element095;technoY;button;name;n;n;n;n
element096;technoY;button;ng-click;n;n;n;n
element097;technoY;button;ng-click;n;n;n;n
element098;technoY;button;ng-click;n;n;n;n
element099;technoY;button;ng-click;n;n;n;n
element100;technoY;button;ng-click;n;n;n;n
element101;technoY;button;ng-click;n;n;n;n
element102;technoY;button;ng-click;n;n;n;n
element103;technoY;button;ng-click;n;n;n;n
element104;technoY;button;ng-click;n;n;n;n
element105;technoY;button;ng-click;n;n;n;n
element106;technoY;button;ng-click;n;n;n;n
element107;technoY;button;ng-click;n;n;n;n
element108;technoY;button;ng-click;n;n;n;n
element109;technoY;button;ng-click;n;n;n;n
element110;technoY;button;ng-click;n;n;n;n
element111;technoY;button;ng-click;n;n;n;n
element112;technoY;button;ng-click;n;n;n;n
element113;technoY;button;ng-click;n;n;n;n
element114;technoY;button;ng-click;n;n;n;n
element115;technoY;button;ng-click;n;n;n;n
element116;technoY;button;ng-click;n;n;n;n
element117;technoY;button;ng-click;n;n;n;n
element118;technoY;button;ng-click;n;n;n;n
element119;technoY;button;ng-click;n;n;n;n
element120;technoY;button;ng-click;n;n;n;n
element121;technoY;button;ng-click;n;n;n;n
element122;technoY;button;ng-click;n;n;n;n
element123;technoY;button;ng-click;n;n;n;n
element124;technoY;button;ng-click;n;n;n;n
element125;technoY;button;ng-click;n;n;n;n
element126;technoY;button;ng-click;n;n;n;n
element127;technoY;button;ng-click;n;n;n;n
element128;technoY;button;ng-click;n;n;n;n
element129;technoY;button;ng-click;class;n;n;n
element130;technoY;button;ng-click;n;n;n;n
element131;technoY;button;ng-click;n;n;n;n
element132;technoY;button;ng-click;n;n;n;n
element133;technoY;button;ng-click;n;n;n;n
element134;technoY;button;ng-click;n;n;n;n
element135;technoY;button;ng-click;n;n;n;n
element136;technoY;button;ng-click;n;n;n;n
element137;technoY;button;ng-click;n;n;n;n
element138;technoY;button;ng-click;n;n;n;n
element139;technoY;button;ng-click;n;n;n;n
element140;technoY;button;ng-click;n;n;n;n
element141;technoY;button;ng-click;n;n;n;n
element142;technoY;button;ng-click;n;n;n;n
element143;technoY;button;ng-click;n;n;n;n
element144;technoY;button;ng-click;n;n;n;n
element145;technoY;button;ng-click;n;n;n;n
element146;technoY;button;ng-click;n;n;n;n
element147;technoY;button;ng-click;n;n;n;n
element148;technoY;button;ng-click;n;n;n;n
element149;technoY;button;ng-click;n;n;n;n
element150;technoY;button;ng-click;n;n;n;n
element151;technoY;button;ng-click;n;n;n;n
element152;technoY;button;ng-click;n;n;n;n
element153;technoY;button;ng-click;n;n;n;n
element154;technoY;button;onclick;n;n;n;n
element155;technoY;button;class;textcontent;n;n;n
element156;technoY;button;class;textcontent;n;n;n
element157;technoY;button;class;textcontent;n;n;n
element158;technoY;button;class;n;n;n;n
element159;technoY;button;class;n;n;n;n
element160;technoY;button;class;n;n;n;n
